"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"CHECK_PRICES";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"MF";"MP";"NUMBER_OF_POSITIONS";"PACKAGE";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";"SNAPEDA_LINK";
"1";"0.1";"R_R0805";"R0805";"R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15";"1k";"R_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BLUE_LED_BUTTON";"LED_BUTTON";"LED_BUTTON";"D5";"LED Arcade Buttons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BUZZER";"BUZZER";"BUZZER_6.5MM";"U1";"CEM-1203 Buzzer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GREEN_LED_BUTTON";"LED_BUTTON";"LED_BUTTON";"D4";"LED Arcade Buttons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"PB1";"PocketBeagle";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED_LED_BUTTON";"LED_BUTTON";"LED_BUTTON";"D2";"LED Arcade Buttons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SCREEN";"SCREEN";"SCREEN";"S1";"SPI Screen,";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"TRANSISTOR";"TRANSISTOR";"TRANSISTOR";"Q1, Q2, Q3, Q4, Q5";"NPN Transistor,";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB_ADAPTER";"USB_ADAPTER";"USB_ADAPTER";"J1";"CONN USB RECEPT R/A TYPE A 4POS Check availability";"In Stock";"2 mm[.078 in]";"https://www.snapeda.com/parts/292303-1/TE+Connectivity+AMP+Connectors/view-part/?ref=eda";"292303-1";" Type A Standard USB Connector 4 Position Right Angle Mount 1 Port | TE Connectivity 292303-1 ";"Compliant";"TE Connectivity";"292303-1";"4";"None";"None";"Connector";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=447501&manufacturer=TE Connectivity&part_name=292303-1&search_term=292303-1";"https://www.snapeda.com/parts/292303-1/TE+Connectivity+AMP+Connectors/view-part/?ref=snap";
"1";"WHITE_LED_BUTTON";"LED_BUTTON";"LED_BUTTON";"D1";"LED Arcade Buttons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"YELLOW_LED_BUTTON";"LED_BUTTON";"LED_BUTTON";"D3";"LED Arcade Buttons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
